179,347.8434,5.2827,0.392,0.0133,153.8201,8.0526
180,215.417,37.2913,0.1631,0.0038,82.5184,3.7719
181,6.6486,17.162,0.404,0.0128,137.1159,7.5278
182,337.1115,20.6479,0.389,0.0138,121.1287,6.6943
184,9.5755,9.4632,0.2836,0.0102,103.5855,5.1085
185,12.4576,24.4505,0.0902,0.0051,70.5127,3.229
188,185.6721,2.0997,0.2291,0.0064,95.18,4.0278
189,175.6032,58.5349,0.335,0.0133,105.889,4.9022
190,353.7537,5.5992,0.1968,0.0048,86.9576,4.0068
192,334.6999,-2.9736,0.0982,0.0049,66.4396,2.5191
193,152.8042,-2.0432,0.2019,0.005,89.1238,4.4427
194,2.3361,6.8231,0.244,0.0073,105.5381,4.283
195,20.6816,13.0165,0.2514,0.0078,91.1374,3.7748
196,139.994,30.5303,0.295,0.0125,26.0292,3.4928
197,189.8219,18.7672,0.3216,0.0127,108.5281,4.8034
198,233.2648,-0.7713,0.1515,0.0037,79.5284,3.043
199,248.4563,24.548,0.1894,0.0045,88.6509,3.5631
200,184.3798,36.6865,0.3776,0.0135,125.8425,6.001
203,2.9386,32.4157,0.1038,0.0045,79.6352,4.1907
206,201.8455,3.6292,0.2204,0.0058,96.2021,4.9716
207,134.4751,3.1764,0.2009,0.0049,90.9086,4.0044
208,142.7069,28.8522,0.2991,0.0111,105.8127,4.5394
209,9.2785,9.1567,0.2688,0.0091,101.7091,4.7465
210,223.0545,37.8811,0.2869,0.0101,101.9227,4.4848
211,34.9729,2.7853,0.277,0.0095,110.8316,5.4441
212,125.8303,15.9627,0.1564,0.0037,82.076,3.8685
213,177.7047,62.3301,0.3411,0.0136,113.1046,4.9202
214,174.5176,27.9773,0.4301,0.0115,116.5675,8.713
215,168.8119,53.3318,0.4713,0.0104,184.8182,14.1453
216,131.5727,5.1344,0.2404,0.007,94.9817,4.0863
219,184.4866,20.6714,0.2144,0.0055,89.7187,4.5544
220,178.1474,37.262,0.1681,0.0038,84.8524,3.6952
223,15.1366,4.8168,0.3587,0.0141,115.2555,6.4019
224,126.8685,22.546,0.3365,0.0133,119.2066,5.2999
225,188.6004,9.7876,0.2296,0.0064,92.968,4.2245
226,42.0348,-2.277,0.235,0.0067,97.1937,5.1995
227,5.6029,23.2925,0.1334,0.0037,81.1302,3.5214
229,191.9643,-2.8306,0.1824,0.0042,73.3959,3.3649
231,8.3399,10.4571,0.4143,0.0125,142.4704,8.4914
232,211.9437,14.0033,0.1343,0.0038,67.1261,3.0635
234,255.6381,33.5166,0.0872,0.0054,72.4348,3.5089
235,12.9109,27.3333,0.3815,0.0133,140.1974,6.9245
236,344.2756,5.5638,0.1755,0.0041,69.8262,3.2472
237,152.1488,17.2455,0.1226,0.0039,61.2529,3.0519
238,174.546,27.9263,0.4579,0.0109,41.2079,10.717
239,28.1748,1.0071,0.2276,0.0063,93.8528,4.0898
240,261.1949,32.043,0.2152,0.0057,85.9355,4.6916
241,196.0037,67.5066,0.2212,0.0059,90.0543,4.2217
242,344.9438,31.04,0.1949,0.0047,75.4858,3.4905
247,10.4793,21.3771,0.1043,0.0045,60.6275,2.7409
248,157.9347,35.0414,0.1254,0.0039,68.3312,2.8832
249,222.7446,31.295,0.1645,0.0038,75.2875,3.4964
250,337.1778,8.6568,0.4173,0.0118,181.1265,10.968
251,177.3987,22.3985,0.5355,0.0146,231.0408,25.2909
252,0.4937,12.0661,0.2113,0.0055,83.4794,3.655
254,186.8122,8.9709,0.0892,0.0053,66.5617,3.6101
258,341.8012,-2.0938,0.3455,0.0137,119.2066,5.4763
259,333.4389,6.5363,0.3916,0.0131,125.4001,6.4325
260,120.2367,36.0565,0.2965,0.011,107.9332,5.6805
263,126.524,40.292,0.3952,0.0127,137.7261,7.0994
264,328.5546,-3.9981,0.1501,0.0038,78.1555,3.4685
265,350.1701,11.9344,0.3089,0.0118,112.6012,5.257
267,198.2417,46.2584,0.1808,0.0041,80.6268,3.4211
269,223.6962,54.3759,0.1007,0.0048,61.8784,2.1667
270,187.2263,19.4318,0.1646,0.0038,77.4537,3.5652
271,201.2966,57.6004,0.1156,0.004,68.8652,3.0016
272,332.7472,-6.89,0.3712,0.0144,128.4816,6.1044
275,128.9155,36.8738,0.3059,0.0116,98.7802,4.7802
277,44.1285,0.1009,0.3721,0.0142,94.463,4.7276
278,177.0289,-2.5723,0.34,0.0138,101.7854,4.6061
281,155.2867,14.7677,0.2484,0.0076,83.0523,3.7657
282,205.948,9.7812,0.2175,0.0058,73.5485,3.2038
284,142.1527,37.7898,0.2469,0.0075,84.9287,3.912
286,189.2442,63.1872,0.3121,0.012,102.5634,4.8463
287,111.6948,42.5307,0.19,0.0047,65.6921,3.6424
289,320.2817,5.3289,0.1468,0.0037,74.3264,3.7199
290,2.7141,29.1612,0.3485,0.0139,105.0957,5.9943
292,145.1024,2.4776,0.1564,0.004,62.7327,2.7609
293,155.6184,50.1056,0.1589,0.0037,79.1775,3.8146
294,185.4457,7.8065,0.1332,0.0038,67.0041,3.2387
295,132.912,33.5184,0.3543,0.014,109.9621,5.9091
297,214.1619,30.7358,0.1825,0.0043,76.3096,3.4512
298,168.2088,13.4751,0.1742,0.004,78.3385,3.5174
299,196.4615,30.9048,0.187,0.0044,74.2654,3.2465
300,334.316,9.0528,0.285,0.0103,98.4903,4.6102
301,21.8068,0.3684,0.3772,0.0141,107.6433,5.9954
304,21.4264,-6.5784,0.4359,0.0113,159.3424,10.5524
305,140.5021,51.9225,0.21,0.0053,91.8544,4.158
306,121.9472,39.7766,0.3653,0.0136,125.7205,6.1404
307,202.6228,49.1466,0.3353,0.0132,117.8946,6.0849
308,173.2174,39.8433,0.2987,0.0113,94.9664,4.6844
309,201.5023,12.3788,0.206,0.0053,79.1928,5.2404
312,121.4303,45.683,0.1489,0.0038,62.9157,2.7481
313,219.5911,3.6703,0.22,0.0059,80.4895,4.0486
314,355.8986,0.3309,0.265,0.009,78.5826,4.4824
315,206.2586,-2.8106,0.5243,0.0139,197.5714,22.0868
316,123.941,10.0696,0.2848,0.0101,95.4393,5.0502
317,19.3238,15.7547,0.3619,0.0147,93.1816,5.6342
319,341.8157,-3.0297,0.188,0.0045,80.0166,3.6564
320,332.9413,-3.829,0.4265,0.0118,159.4187,10.3009
321,170.8267,19.5782,0.0976,0.0048,65.9515,2.7208
322,124.2472,49.0281,0.3498,0.0142,105.4161,4.8529
325,132.5997,0.2601,0.1983,0.0049,68.4075,3.2116
326,172.6042,5.7365,0.3485,0.0141,104.7449,4.9556
329,142.0189,20.5292,0.2082,0.0051,93.0443,4.5195
331,345.5588,6.8252,0.3312,0.0133,94.1274,4.3497
332,140.9428,8.683,0.1353,0.0039,64.8989,3.0889
333,122.5759,18.255,0.4193,0.0119,122.2423,7.3967
334,249.5036,37.8833,0.1678,0.004,60.1698,2.7947
335,253.0608,44.8233,0.1811,0.0043,84.5473,7.1723
336,168.7367,59.447,0.3658,0.0143,93.1663,4.3628
338,22.1963,-7.7002,0.3758,0.0142,113.8826,5.7646
340,127.4977,56.329,0.289,0.0106,98.8412,4.7343
