INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,TS_MIN,TS_MAX,Y_MIN,Y_MAX
1430,PSZ2 G303.98-18.29,303.9843992005875,-18.293912875548614,199.3411140898152,-81.11263523419031,3.6455774307250977,4.750861644744873,0.10000000149011612,5.34335994720459,0.0,0.0023171654902398586
1431,PSZ2 G304.44+32.48,304.447431384801,32.48737564114811,194.34109091302153,-30.366934594890264,3.514346122741699,12.400338172912598,0.10000000149011612,42.22959899902344,0.0,0.04068112000823021
1432,PSZ2 G304.65-31.66,304.65474128648924,-31.654521043091435,354.9294876386175,-85.23155995863095,2.3431193828582764,6.517031192779541,0.10000000149011612,20.14229965209961,0.0,0.007889320142567158
1433,PSZ2 G304.84-41.40,304.86041194277664,-41.40759404576275,7.021233032420728,-75.63309333024313,1.7136471271514893,10.20893669128418,0.10000000149011612,9.967300415039062,0.0,0.00431203655898571
1434,PSZ2 G304.84+69.84,304.8450303567658,69.84063690055213,193.52361261839286,6.9787554305452675,2.364816904067993,4.722236156463623,0.10000000149011612,5.0,0.0,0.0016746398760005832
1435,PSZ2 G304.91+45.43,304.9153266637035,45.43846615662447,194.3178770654811,-17.410816986879137,2.8777687549591064,16.11598014831543,11.625,35.864898681640625,0.007835304364562035,0.042903218418359756
1436,PSZ2 G304.95-18.60,304.9507070436042,-18.607199992398762,205.5794154915111,-81.27884790363709,2.0528130531311035,4.646588325500488,0.10000000149011612,11.715299606323242,0.0,0.004745636135339737
1439,PSZ2 G305.55-42.77,305.5625280686973,-42.78415037108712,5.7537021716903425,-74.19861572136604,5.3293046951293945,5.387856483459473,0.10000000149011612,37.68880081176758,0.0,0.009936328046023846
1440,PSZ2 G305.59-54.80,305.59080505186114,-54.83402474633698,9.572503775835516,-62.226296037310306,5.296902656555176,4.673346042633057,0.10000000149011612,29.33810043334961,0.0,0.005606378428637981
1442,PSZ2 G305.88-44.56,305.88455782768506,-44.563906423495695,5.886550234416892,-72.40409269356914,2.412710189819336,8.630361557006836,0.10000000149011612,7.977459907531738,0.0,0.0028305891901254654
1443,PSZ2 G305.96-25.45,305.9355930011634,-25.47533086325093,251.98820653005427,-86.84062760813782,3.472635269165039,5.836321830749512,0.10000000149011612,13.117300033569336,0.0,0.004768777173012495
1444,PSZ2 G305.96-37.15,305.97113730560415,-37.15831479704438,359.26061828635284,-79.64688584598369,3.4183483123779297,5.870298385620117,0.10000000149011612,21.921899795532227,0.0,0.006723135709762573
1445,PSZ2 G306.02+34.47,306.03151617786705,34.44381844210115,195.76406565917418,-28.357998267375226,3.613539457321167,5.4036078453063965,0.10000000149011612,19.34589958190918,0.0,0.006787508260458708
1447,PSZ2 G306.23+11.92,306.2312582299549,11.921792163455606,197.97313902457208,-50.81887560454883,3.7034409046173096,5.0278191566467285,0.10000000149011612,15.601300239562988,0.0,0.004603785928338766
1448,PSZ2 G306.50+38.50,306.5066514572898,38.505892450953226,195.92780462164572,-24.28065443699342,3.609123945236206,7.614724159240723,0.10000000149011612,17.089500427246094,0.0,0.008979957550764084
1450,PSZ2 G306.66+61.06,306.7134422646011,61.0769048463261,194.68818454012484,-1.7411256517833873,2.3219974040985107,11.161885261535645,1.0735499858856201,22.474199295043945,0.0,0.018052127212285995
1451,PSZ2 G306.77+58.61,306.7735479292972,58.62046487737145,194.86410484417715,-4.19146176189665,2.318372964859009,14.47935676574707,4.56633996963501,18.981399536132812,0.003249316941946745,0.019300563260912895
1452,PSZ2 G307.23+16.35,307.23286449060225,16.35569142543943,198.83985744721414,-46.31619491484579,2.390263795852661,5.326825141906738,0.10000000149011612,5.0,6.36125696473755e-05,0.0019149320432916284
1453,PSZ2 G307.56-10.74,307.5681994580932,-10.74367833304396,208.66071120121558,-73.04397685051897,2.4129340648651123,9.977986335754395,0.10000000149011612,18.853300094604492,0.0,0.016193224117159843
1454,PSZ2 G307.72-77.87,307.58265213837694,-77.87773062850434,11.600392275700875,-39.20500450761578,2.426158905029297,4.853226184844971,0.10000000149011612,9.566349983215332,0.0,0.002381187630817294
1455,PSZ2 G308.04-15.48,308.0445914923232,-15.487176409726104,216.09458653037078,-77.42674914702715,3.4500718116760254,4.659296989440918,0.10000000149011612,12.088700294494629,0.0,0.0038029872812330723
1456,PSZ2 G308.33-20.21,308.3382896266338,-20.21941150446692,229.61240617912233,-81.5030223873291,0.9615893959999084,10.695266723632812,0.10000000149011612,10.50510025024414,0.0,0.00816430151462555
1457,PSZ2 G308.44+24.24,308.44882940816126,24.240803312760647,199.27799332702045,-38.35576685378475,1.7014416456222534,7.100285530090332,0.10000000149011612,10.097399711608887,0.0,0.005084875039756298
1459,PSZ2 G308.85-50.61,308.85396890896976,-50.61852761325349,3.5681658392804723,-66.0802335271204,3.4744274616241455,5.8081889152526855,0.10000000149011612,8.396360397338867,0.0,0.0020088404417037964
