sloan_ra sloan_dec sloan dr7_ra dr7_dec dr7
183.3111700 +25.0918411 Sloan 183.31117 +25.09184 DR7
191.9768300 +24.9898589 Sloan 191.97683 +24.98986 DR7
208.8986200 +23.6948419 Sloan 208.89862 +23.69484 DR7
124.9805500 +14.9982719 Sloan 124.98055 +14.99827 DR7
138.6610200 +20.2416639 Sloan 138.66102 +20.24166 DR7
211.7736300 +25.6029189 Sloan 211.77363 +25.60292 DR7
221.6733300 +23.5126811 Sloan 221.67333 +23.51268 DR7
228.4699800 +21.3447819 Sloan 228.46998 +21.34478 DR7
226.3840300 +22.3230731 Sloan 226.38403 +22.32307 DR7
183.3710000 +27.1972150 Sloan 183.37100 +27.19721 DR7
154.8043900 +24.0660761 Sloan 154.80439 +24.06608 DR7
177.1386200 +27.9398581 Sloan 177.13862 +27.93986 DR7
135.5103100 +20.9042661 Sloan 135.51031 +20.90427 DR7
211.9894500 +26.3253719 Sloan 211.98945 +26.32537 DR7
251.6396700 +13.3418231 Sloan 251.63967 +13.34182 DR7
208.8294700 +27.9471869 Sloan 208.82947 +27.94719 DR7
213.7922700 +26.8757719 Sloan 213.79227 +26.87577 DR7
160.8103800 +27.1245369 Sloan 160.81038 +27.12454 DR7
156.2726900 +26.9148181 Sloan 156.27269 +26.91482 DR7
169.8199500 +29.2027111 Sloan 169.81995 +29.20271 DR7
161.1950800 +28.5117861 Sloan 161.19508 +28.51179 DR7
171.0606600 +30.4407069 Sloan 171.06066 +30.44071 DR7
141.4352200 +24.9697811 Sloan 141.43522 +24.96978 DR7
125.6236900 +17.3573631 Sloan 125.62369 +17.35736 DR7
134.8877300 +21.6332619 Sloan 134.88773 +21.63326 DR7
199.3952400 +32.8000619 Sloan 199.39524 +32.80006 DR7
197.4961100 +31.5066450 Sloan 197.49611 +31.50664 DR7
170.0520100 +31.4991969 Sloan 170.05201 +31.49920 DR7
157.9725300 +30.6621061 Sloan 157.97253 +30.66211 DR7
143.7508300 +26.7044650 Sloan 143.75083 +26.70446 DR7
149.1604500 +30.1167139 Sloan 149.16045 +30.11671 DR7
157.4112300 +30.8727731 Sloan 157.41123 +30.87277 DR7
213.1120700 +30.6224511 Sloan 213.11207 +30.62245 DR7
214.2287200 +30.3536569 Sloan 214.22872 +30.35366 DR7
169.9627800 +33.2814200 Sloan 169.96278 +33.28142 DR7
209.6244700 +31.7621631 Sloan 209.62447 +31.76216 DR7
164.7054700 +34.2240631 Sloan 164.70547 +34.22406 DR7
194.1089500 +35.5998481 Sloan 194.10895 +35.59985 DR7
194.4362500 +35.6640269 Sloan 194.43625 +35.66403 DR7
149.8874000 +33.1407819 Sloan 149.88740 +33.14078 DR7
145.0837500 +30.1713369 Sloan 145.08375 +30.17134 DR7
147.1926300 +31.3954169 Sloan 147.19263 +31.39542 DR7
147.4067600 +31.4484750 Sloan 147.40676 +31.44847 DR7
129.9733400 +23.5657131 Sloan 129.97334 +23.56571 DR7
124.2143100 +20.8509019 Sloan 124.21431 +20.85090 DR7
214.2734900 +33.4130069 Sloan 214.27349 +33.41301 DR7
239.6530300 +24.4432900 Sloan 239.65303 +24.44329 DR7
171.2245100 +35.9825539 Sloan 171.22451 +35.98255 DR7
