INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,PIPELINE,PIPE_DET,PCCS2,PSZ,IR_FLAG,Q_NEURAL,Y5R500,Y5R500_ERR,VALIDATION,REDSHIFT_ID,REDSHIFT,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MCXC,REDMAPPER,ACT,SPT,WISE_FLAG,AMI_EVIDENCE,COSMO,COMMENT
814,PSZ2 G171.98-40.66,171.9842469,-40.66237744,48.24650229,8.356286851,2.428907633,13.39431667,1,111,TRUE,591,0,0.964280009,4.684191704,0.698084831,20,,0.270000011,10.71025753,0.493136406,0.496379852,,,,,-10,-1000,FALSE,"Point sources at: 217GHz, 857GHz,"
815,PSZ2 G172.63+35.15,172.6331279,35.1521938,126.3698537,47.15324363,2.428800344,7.441239834,1,111,FALSE,594,0,0.997963011,2.213007689,0.690816283,20,RXC J0825.5+4707,0.126699999,3.901607037,0.328527927,0.344362259,J0825.5+4707,RMJ082529.1+470800.9,,,-10,-100,TRUE,
816,PSZ2 G172.74+65.30,172.7473096,65.30938333,167.9028845,40.8573534,3.162908077,7.463621616,3,111,TRUE,593,0,0.94611299,6.72336483,2.036181927,21,RXC J1111.6+4050,0.079400003,2.453958511,0.208370447,0.212790728,J1111.6+4050,RMJ111143.6+404914.7,,,-10,-1000,TRUE,"Point sources at: 217GHz, 857GHz,"
817,PSZ2 G172.93+21.34,172.9310188,21.3448236,106.9429565,44.33176159,2.320086002,6.347190857,2,111,FALSE,595,0,0.955780983,2.437862635,0.822220385,11,,0.331,6.121144295,0.604067326,0.58119154,,,,,3,4.85762167,TRUE,
818,PSZ2 G172.98-53.55,172.9896197,-53.55433436,39.96505125,-1.568082035,2.436842918,7.615700722,3,111,FALSE,596,0,0.964115977,3.248850346,0.845742047,20,ACO 370,0.372999996,7.645353794,0.556005001,0.571722984,,RMJ023952.7-013418.9,ACT-CL J0239.8-0134,,3,-1000,TRUE,
820,PSZ2 G173.76+22.92,173.7605726,22.92854639,109.3682496,44.05767236,5.402469158,5.803470612,2,111,FALSE,-1,0,0.999879003,6.481475353,2.374958277,-1,,-1,0,0,0,,,,,0,-1000,FALSE,
822,PSZ2 G174.40-57.33,174.4088122,-57.33918787,37.93007413,-4.861152247,3.83268857,5.037557125,2,11,FALSE,-1,0,0.634378016,1.482733846,0.589212179,21,RXC J0231.7-0451,0.184300005,3.961236954,0.486325264,0.493804216,J0231.7-0451,RMJ023141.2-045257.4,,,-10,-1000,FALSE,
825,PSZ2 G175.69-85.98,175.6907481,-85.98473645,16.37597598,-24.65484181,1.86632669,8.768241882,3,111,FALSE,599,0,0.997880995,3.786066771,0.930129826,21,RXCJ0105.5-2439,0.230000004,5.67255497,0.356375694,0.397586823,J0105.5-2439,,,,-10,-1000,TRUE,
827,PSZ2 G176.07-26.95,176.0755696,-26.95391655,60.63787495,15.61371808,3.710506439,4.905994892,2,110,FALSE,-1,0,0.993219018,2.147500515,1.019787788,-1,,-1,0,0,0,,,,,-2,-1000,FALSE,
828,PSZ2 G176.25-52.57,176.2560505,-52.572795,42.05598019,-2.237401937,1.716854095,8.251162529,2,111,FALSE,602,0,0.980639994,1.766657591,0.317011416,20,RXC J0248.2-0216,0.236000001,6.065900803,0.444711208,0.476830959,J0248.2-0216,RMJ024808.3-021637.2,,,-10,-1000,TRUE,
830,PSZ2 G176.27-35.04,176.2763519,-35.04571739,54.68475794,9.971235747,3.035843849,8.061017036,3,111,FALSE,603,0,0.853457987,13.88228512,4.096262932,21,RXC J0338.6+0958,0.034699999,2.269227266,0.154679775,0.174236536,J0338.6+0958,,,,-10,-1000,FALSE,
833,PSZ2 G178.94+56.00,178.9497447,56.00275372,154.9481106,41.0097985,2.428135395,4.968103409,1,110,FALSE,-1,0,0.947498024,4.261851788,1.930344462,21,RXC J1019.9+4059,0.092200004,2.231196165,0.273933172,0.320908546,J1019.9+4059,RMJ101945.7+405938.9,,,-10,-1000,FALSE,
834,PSZ2 G179.09+60.12,179.0965349,60.12160727,160.1863687,39.95917944,2.229482889,7.508292675,2,111,FALSE,606,0,0.931201994,2.282306194,0.702593148,20,RXC J1040.7+3956,0.137199998,3.839040756,0.313272953,0.339495659,J1040.7+3956,RMJ104103.1+395518.0,,,-10,-100,TRUE,
835,PSZ2 G179.33-22.22,179.3336807,-22.22524171,66.37553435,16.4646611,2.428018808,5.018479824,1,110,FALSE,-1,0,0.087237202,3.335641861,1.582490802,-1,,-1,0,0,0,,,,,-3,-1000,FALSE,
837,PSZ2 G180.25+21.03,180.2562191,21.03154331,109.3671738,37.74333509,2.35457778,12.77334309,2,111,FALSE,608,0,0.994310021,3.110805988,0.512266159,21,MACSJ0717.5+3745,0.546000004,11.48718357,0.534724236,0.548288345,J0717.5+3745,,,,3,-100,TRUE,
838,PSZ2 G180.27-29.53,180.2715733,-29.53496308,61.15069025,11.13366976,2.362719059,7.058877945,2,111,FALSE,609,0,0.994468987,5.149906635,1.734190941,21,RXC J0404.6+1109,0.354799986,7.705026627,0.661108971,0.769953251,J0404.6+1109,,,,3,-1000,FALSE,
839,PSZ2 G180.60+76.65,180.6040921,76.65053576,179.3109716,33.61097087,2.428842783,10.99543953,1,111,FALSE,610,0,0.965209007,3.072427511,0.63302803,20,RXC J1157.3+3336,0.213799998,6.299809456,0.346055508,0.340053082,J1157.3+3336,RMJ115717.3+333639.4,,,-10,7.12778759,TRUE,
